timestamp,audio_freq_hz,vibration_g,thermal_temp_c,audio_green_flag,vibration_green_flag,temp_green_flag,all_green_flag,rolling_corr_temp_audio,rolling_corr_temp_vibration,rolling_corr_audio_vibration,corr_drop_flag,audio_predicted,audio_residual,abs_residual,rolling_residual_mean,residual_growth_flag,silent_failure_flag
2026-02-13T04:31:55.925809,3577.01,148.6629,75.05,1,1,1,1,,,,0,3604.920498,-27.91049775,27.91049775,,0,0
2026-02-13T04:31:56.025805,3625.86,151.4239,75.44,1,1,1,1,,,,0,3645.445994,-19.58599419,19.58599419,,0,0
2026-02-13T04:31:56.125802,3601.02,149.9282,75.25,1,1,1,1,,,,0,3625.702804,-24.68280362,24.68280362,,0,0
2026-02-13T04:31:56.225798,3580.17,148.9839,74.68,1,1,1,1,,,,0,3566.473232,13.6967681,13.6967681,,0,0
2026-02-13T04:31:56.325795,3651.36,152.1955,75.56,1,1,1,1,,,,0,3657.915378,-6.555377711,6.555377711,,0,0
2026-02-13T04:31:56.425791,3682.28,153.5118,76.1,1,1,0,0,,,,0,3714.027604,-31.74760355,31.74760355,,0,0
2026-02-13T04:31:56.525788,3557.41,148.293,74.66,1,1,1,1,,,,0,3564.395001,-6.985001312,6.985001312,,0,0
2026-02-13T04:31:56.625784,3703.73,154.1856,75.9,1,1,1,1,,,,0,3693.245298,10.48470232,10.48470232,,0,0
2026-02-13T04:31:56.725781,3634.57,151.5579,74.95,1,1,1,1,,,,0,3594.529345,40.04065518,40.04065518,,0,0
2026-02-13T04:31:56.825777,3603.5,150.4456,75.43,1,1,1,1,,,,0,3644.406879,-40.9068789,40.9068789,,0,0
2026-02-13T04:31:56.925774,3715.35,154.3661,75.99,1,1,1,1,,,,0,3702.597335,12.75266468,12.75266468,,0,0
2026-02-13T04:31:57.025770,3686.7,153.2312,75.46,1,1,1,1,,,,0,3647.524225,39.17577522,39.17577522,,0,0
2026-02-13T04:31:57.125767,3547.52,147.8402,74.61,1,1,1,1,,,,0,3559.199425,-11.67942485,11.67942485,,0,0
2026-02-13T04:31:57.225763,3748,156.126,76.18,0,0,0,0,,,,0,3722.340526,25.6594741,25.6594741,,0,0
2026-02-13T04:31:57.325760,3593.75,149.5166,75.06,1,1,1,1,,,,0,3605.959613,-12.20961304,12.20961304,,0,0
2026-02-13T04:31:57.425756,3624.53,150.6609,75.3,1,1,1,1,,,,0,3630.89838,-6.368380085,6.368380085,,0,0
2026-02-13T04:31:57.525753,3602.88,150.3584,74.92,1,1,1,1,,,,0,3591.411999,11.46800106,11.46800106,,0,0
2026-02-13T04:31:57.625749,3660.63,152.9837,75.15,1,1,1,1,,,,0,3615.311651,45.31834932,45.31834932,,0,0
2026-02-13T04:31:57.725746,3670.56,152.7474,75.44,1,1,1,1,,,,0,3645.445994,25.11400581,25.11400581,,0,0
2026-02-13T04:31:57.825743,3590.68,149.3188,74.85,1,1,1,1,,,,0,3584.138192,6.541808115,6.541808115,,0,0
2026-02-13T04:31:57.925739,3538.44,147.8807,74.74,1,1,1,1,,,,0,3572.707924,-34.26792366,34.26792366,,0,0
2026-02-13T04:31:58.025736,3586.29,149.7652,75.04,1,1,1,1,,,,0,3603.881382,-17.59138246,17.59138246,,0,0
2026-02-13T04:31:58.125732,3544.01,147.4575,74.54,1,1,1,1,,,,0,3551.925618,-7.915617792,7.915617792,,0,0
2026-02-13T04:31:58.225729,3635.17,152.0856,75.61,1,1,1,1,,,,0,3663.110954,-27.94095418,27.94095418,,0,0
2026-02-13T04:31:58.325725,3615.83,150.3608,75.36,1,1,1,1,,,,0,3637.133072,-21.30307184,21.30307184,,0,0
2026-02-13T04:31:58.425722,3662.68,152.8186,75.5,1,1,1,1,,,,0,3651.680686,10.99931405,10.99931405,,0,0
2026-02-13T04:31:58.525718,3620.08,150.6031,75.06,1,1,1,1,,,,0,3605.959613,14.12038696,14.12038696,,0,0
2026-02-13T04:31:58.625715,3636.02,151.3993,75.19,1,1,1,1,,,,0,3619.468112,16.55188814,16.55188814,,0,0
2026-02-13T04:31:58.725711,3657.29,152.7261,75.05,1,1,1,1,,,,0,3604.920498,52.36950225,52.36950225,,0,0
2026-02-13T04:31:58.825708,3608.1,150.211,75.06,1,1,1,1,,,,0,3605.959613,2.140386955,2.140386955,,0,0
2026-02-13T04:31:58.925704,3544.22,147.7268,74.7,1,1,1,1,,,,0,3568.551462,-24.33146249,24.33146249,,0,0
2026-02-13T04:31:59.025700,3559.35,147.9677,74.3,1,1,1,1,,,,0,3526.986851,32.36314925,32.36314925,,0,0
2026-02-13T04:31:59.125692,3449.52,143.7497,73.63,0,0,0,0,,,,0,3457.366126,-7.846126099,7.846126099,,0,0
2026-02-13T04:31:59.225689,3560.96,148.3542,74.63,1,1,1,1,,,,0,3561.277655,-0.317655432,0.317655432,,0,0
2026-02-13T04:31:59.325686,3664.85,152.9298,75.53,1,1,1,1,,,,0,3654.798032,10.05196817,10.05196817,,0,0
2026-02-13T04:31:59.425682,3596.01,149.5565,74.96,1,1,1,1,,,,0,3595.56846,0.441539888,0.441539888,,0,0
2026-02-13T04:31:59.525679,3652.87,152.7819,75.65,1,1,1,1,,,,0,3667.267415,-14.39741535,14.39741535,,0,0
2026-02-13T04:31:59.625675,3615.03,150.3603,75.13,1,1,1,1,,,,0,3613.23342,1.796579902,1.796579902,,0,0
2026-02-13T04:31:59.725672,3562.57,148.7992,74.83,1,1,1,1,,,,0,3582.059961,-19.4899613,19.4899613,,0,0
2026-02-13T04:31:59.825668,3559.42,148.1847,74.45,1,1,1,1,,,,0,3542.57358,16.84641985,16.84641985,,0,0
2026-02-13T04:31:59.925665,3700.1,154.1331,75.66,1,1,1,1,,,,0,3668.306531,31.79346936,31.79346936,,0,0
2026-02-13T04:32:00.025661,3511.67,146.2217,74.41,1,1,1,1,,,,0,3538.417119,-26.74711898,26.74711898,,0,0
2026-02-13T04:32:00.125658,3608.87,150.2655,75.05,1,1,1,1,,,,0,3604.920498,3.949502249,3.949502249,,0,0
2026-02-13T04:32:00.225654,3654.16,151.8303,75.22,1,1,1,1,,,,0,3622.585458,31.57454226,31.57454226,,0,0
2026-02-13T04:32:00.325651,3645.56,151.5802,75.47,1,1,1,1,,,,0,3648.56334,-3.003340071,3.003340071,,0,0
2026-02-13T04:32:00.425647,3649.44,152.4862,74.96,1,1,1,1,,,,0,3595.56846,53.87153989,53.87153989,,0,0
2026-02-13T04:32:00.525644,3624.24,150.8247,75.3,1,1,1,1,,,,0,3630.89838,-6.658380085,6.658380085,,0,0
2026-02-13T04:32:00.625640,3477.15,144.9224,74.41,0,0,1,0,,,,0,3538.417119,-61.26711898,61.26711898,,0,0
2026-02-13T04:32:00.725637,3616.68,151.1313,75.49,1,1,1,1,,,,0,3650.641571,-33.96157066,33.96157066,,0,0
2026-02-13T04:32:00.825633,3619.54,151.1664,75.12,1,1,1,1,0.903681207,0.905997649,0.993175702,0,3612.194305,7.345695195,7.345695195,20.24277525,0,0
2026-02-13T04:32:00.925630,3582.9,149.4149,74.92,1,1,1,1,0.905821317,0.909690445,0.993362986,0,3591.411999,-8.511998938,8.511998938,19.85480528,0,0
2026-02-13T04:32:01.025626,3592.9,149.7099,74.89,1,1,1,1,0.90746751,0.910244371,0.993553808,0,3588.294653,4.605346942,4.605346942,19.55519233,0,0
2026-02-13T04:32:01.125623,3442.36,143.3814,73.77,0,0,0,0,0.921820902,0.924676254,0.994494161,0,3471.91374,-29.55374021,29.55374021,19.65261106,0,0
2026-02-13T04:32:01.225619,3600.75,150.2735,75.1,1,1,1,1,0.921897552,0.924504608,0.99444923,0,3610.116074,-9.366074218,9.366074218,19.56599719,0,0
2026-02-13T04:32:01.325616,3743,156.0172,76.07,0,0,1,0,0.927092105,0.929446982,0.994865636,0,3710.910258,32.08974233,32.08974233,20.07668448,0,0
2026-02-13T04:32:01.425610,3585.21,149.2386,74.76,1,1,1,1,0.93039484,0.932712668,0.994724005,0,3574.786154,10.42384576,10.42384576,19.65020932,0,0
2026-02-13T04:32:01.525604,3667.31,152.2117,75.51,1,1,1,1,0.930486026,0.932273386,0.994227375,0,3652.719801,14.59019876,14.59019876,19.80231327,0,0
2026-02-13T04:32:01.625598,3601.8,150.1877,74.76,1,1,1,1,0.925267972,0.927011382,0.993997067,0,3574.786154,27.01384576,27.01384576,20.13289614,0,0
2026-02-13T04:32:01.725592,3571.58,148.9495,74.83,1,1,1,1,0.929331094,0.931656057,0.99400756,0,3582.059961,-10.4799613,10.4799613,19.54168226,0,0
2026-02-13T04:32:01.825586,3617.82,150.691,75.39,1,1,1,1,0.933285439,0.93370246,0.994132657,0,3640.250418,-22.43041772,22.43041772,19.17215304,0,0
2026-02-13T04:32:01.925580,3501.13,146.1528,74.2,1,1,1,1,0.932939686,0.934237869,0.994305251,0,3516.595698,-15.46569782,15.46569782,19.2264137,0,0
2026-02-13T04:32:02.025574,3578.44,149.375,74.64,1,1,1,1,0.932313572,0.931894136,0.994288881,0,3562.316771,16.12322927,16.12322927,18.76536278,0,0
2026-02-13T04:32:02.125569,3484.78,145.2635,74.12,1,1,1,1,0.935677088,0.935259215,0.99457793,0,3508.282775,-23.50277547,23.50277547,19.00182979,0,0
2026-02-13T04:32:02.225550,3647.97,152.2271,75.03,1,1,1,1,0.923364475,0.922079007,0.993983272,0,3602.842267,45.12773284,45.12773284,19.39119497,0,0
2026-02-13T04:32:02.325544,3489.32,145.4898,74.01,1,1,1,1,0.928703569,0.927830999,0.994415158,0,3496.852507,-7.532507245,7.532507245,19.29765285,0,0
2026-02-13T04:32:02.425540,3555.23,148.0159,74.73,1,1,1,1,0.928821588,0.928839136,0.994659393,0,3571.668808,-16.43880837,16.43880837,19.49906142,0,0
2026-02-13T04:32:02.525537,3561.96,148.4491,74.54,1,1,1,1,0.928967264,0.929256159,0.994739626,0,3551.925618,10.03438221,10.03438221,19.47038904,0,0
2026-02-13T04:32:02.625533,3559.33,148.0988,74.44,1,1,1,1,0.931029395,0.934007657,0.994801219,0,3541.534465,17.79553514,17.79553514,18.91993276,0,0
2026-02-13T04:32:02.725529,3519.89,146.5675,74.14,1,1,1,1,0.930745304,0.933846631,0.994852535,0,3510.361006,9.528993941,9.528993941,18.60823252,0,0
2026-02-13T04:32:02.825523,3671.73,153.3257,75.77,1,1,1,1,0.932525347,0.936184352,0.995082932,0,3679.736799,-8.006798871,8.006798871,18.63753234,0,0
2026-02-13T04:32:02.925517,3485.07,145.2553,74.05,1,1,1,1,0.937956441,0.940241459,0.995537762,0,3501.008968,-15.93896842,15.93896842,18.27095323,0,0
2026-02-13T04:32:03.025510,3494.99,145.4791,74.16,1,1,1,1,0.941170196,0.942765612,0.995829248,0,3512.439237,-17.44923665,17.44923665,18.26811032,0,0
2026-02-13T04:32:03.125505,3607.67,150.4002,75.06,1,1,1,1,0.940779179,0.942460597,0.995848148,0,3605.959613,1.710386955,1.710386955,18.1440057,0,0
2026-02-13T04:32:03.225498,3667.27,152.4917,75.08,1,1,1,1,0.93781931,0.938825287,0.996167091,0,3608.037844,59.23215637,59.23215637,18.76982974,0,0
2026-02-13T04:32:03.325492,3669.52,153.1868,75.37,1,1,1,1,0.940471295,0.942376983,0.996325856,0,3638.172187,31.34781286,31.34781286,18.97072456,0,0
2026-02-13T04:32:03.425486,3579.17,149.1488,74.62,1,1,1,1,0.938214154,0.94001489,0.996269199,0,3560.23854,18.93145986,18.93145986,19.12936748,0,0
