timestamp,audio_freq_hz,vibration_g,thermal_temp_c,audio_green_flag,vibration_green_flag,temp_green_flag,all_green_flag,rolling_corr_temp_audio,rolling_corr_temp_vibration,rolling_corr_audio_vibration,corr_drop_flag
2026-02-13T04:31:55.925809,3577.01,148.6629,75.05,1,1,1,1,,,,0
2026-02-13T04:31:56.025805,3625.86,151.4239,75.44,1,1,1,1,,,,0
2026-02-13T04:31:56.125802,3601.02,149.9282,75.25,1,1,1,1,,,,0
2026-02-13T04:31:56.225798,3580.17,148.9839,74.68,1,1,1,1,,,,0
2026-02-13T04:31:56.325795,3651.36,152.1955,75.56,1,1,1,1,,,,0
2026-02-13T04:31:56.425791,3682.28,153.5118,76.1,1,1,0,0,,,,0
2026-02-13T04:31:56.525788,3557.41,148.293,74.66,1,1,1,1,,,,0
2026-02-13T04:31:56.625784,3703.73,154.1856,75.9,1,1,1,1,,,,0
2026-02-13T04:31:56.725781,3634.57,151.5579,74.95,1,1,1,1,,,,0
2026-02-13T04:31:56.825777,3603.5,150.4456,75.43,1,1,1,1,,,,0
2026-02-13T04:31:56.925774,3715.35,154.3661,75.99,1,1,1,1,,,,0
2026-02-13T04:31:57.025770,3686.7,153.2312,75.46,1,1,1,1,,,,0
2026-02-13T04:31:57.125767,3547.52,147.8402,74.61,1,1,1,1,,,,0
2026-02-13T04:31:57.225763,3748,156.126,76.18,0,0,0,0,,,,0
2026-02-13T04:31:57.325760,3593.75,149.5166,75.06,1,1,1,1,,,,0
2026-02-13T04:31:57.425756,3624.53,150.6609,75.3,1,1,1,1,,,,0
2026-02-13T04:31:57.525753,3602.88,150.3584,74.92,1,1,1,1,,,,0
2026-02-13T04:31:57.625749,3660.63,152.9837,75.15,1,1,1,1,,,,0
2026-02-13T04:31:57.725746,3670.56,152.7474,75.44,1,1,1,1,,,,0
2026-02-13T04:31:57.825743,3590.68,149.3188,74.85,1,1,1,1,,,,0
2026-02-13T04:31:57.925739,3538.44,147.8807,74.74,1,1,1,1,,,,0
2026-02-13T04:31:58.025736,3586.29,149.7652,75.04,1,1,1,1,,,,0
2026-02-13T04:31:58.125732,3544.01,147.4575,74.54,1,1,1,1,,,,0
2026-02-13T04:31:58.225729,3635.17,152.0856,75.61,1,1,1,1,,,,0
2026-02-13T04:31:58.325725,3615.83,150.3608,75.36,1,1,1,1,,,,0
2026-02-13T04:31:58.425722,3662.68,152.8186,75.5,1,1,1,1,,,,0
2026-02-13T04:31:58.525718,3620.08,150.6031,75.06,1,1,1,1,,,,0
2026-02-13T04:31:58.625715,3636.02,151.3993,75.19,1,1,1,1,,,,0
2026-02-13T04:31:58.725711,3657.29,152.7261,75.05,1,1,1,1,,,,0
2026-02-13T04:31:58.825708,3608.1,150.211,75.06,1,1,1,1,,,,0
2026-02-13T04:31:58.925704,3544.22,147.7268,74.7,1,1,1,1,,,,0
